RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30
102001,0,United States,Country,"",271600.0,272967.0,279333.0,288667.0,295633.0,299267.0,299900.0,299600.0,299200.0,298533.0,297167.0,294233.0,291567.0,292933.0,297967.0,306333.0,314200.0,320700.0,322333.0,319800.0,315333.0,312000.0,307000.0,303267.0,299800.0,301467.0,306500.0,313000.0,320533.0,328200.0,335200.0,340300.0,342600.0,343933.0,342633.0,338280.0,333580.0,333907.0,340460.0,353827.0,367133.0,378267.0,381567.0,379933.0,376633.0
394913,1,"New York, NY",Msa,NY,517967.0,523000.0,534333.0,544667.0,554667.0,560000.0,560000.0,554833.0,549833.0,549833.0,550000.0,549667.0,549333.0,549333.0,554667.0,563333.0,573300.0,578267.0,578267.0,574633.0,573000.0,574333.0,577667.0,579000.0,577667.0,579633.0,586300.0,594300.0,599000.0,602333.0,612633.0,629300.0,642633.0,649333.0,651667.0,655333.0,661667.0,668000.0,673000.0,675000.0,675000.0,666667.0,658000.0,643000.0,636000.0
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,798667.0,802667.0,818000.0,835000.0,848300.0,849633.0,841300.0,824000.0,801000.0,784333.0,771633.0,761600.0,752933.0,749633.0,759833.0,776796.0,802065.0,821899.0,837936.0,845667.0,845666.0,845962.0,845962.0,848963.0,849333.0,865892.0,882892.0,886225.0,881667.0,891333.0,924333.0,954617.0,964950.0,970283.0,975000.0,988000.0,995667.0,998667.0,1005667.0,1006333.0,1006666.0,999666.0,991333.0,971333.0,946667.0
394463,3,"Chicago, IL",Msa,IL,301000.0,305967.0,319300.0,335967.0,345967.0,347967.0,343600.0,336900.0,330233.0,324900.0,318300.0,309933.0,303267.0,306600.0,319633.0,336000.0,345667.0,347667.0,344333.0,337967.0,331300.0,324933.0,319590.0,311257.0,306290.0,309967.0,319967.0,327967.0,331333.0,336333.0,343300.0,348300.0,349966.0,349666.0,346000.0,339333.0,331333.0,331667.0,338300.0,346633.0,352967.0,354500.0,354467.0,348100.0,339933.0
394514,4,"Dallas-Fort Worth, TX",Msa,TX,342000.0,345333.0,351663.0,359830.0,366163.0,366000.0,359467.0,351133.0,344600.0,341267.0,339600.0,337967.0,335500.0,335800.0,340767.0,348267.0,354933.0,356510.0,354810.0,349810.0,344933.0,341633.0,339997.0,338330.0,335306.0,334639.0,336306.0,339297.0,343133.0,348133.0,354800.0,358267.0,359933.0,359633.0,357848.0,354515.0,351515.0,352625.0,357625.0,365958.0,375000.0,383333.0,390000.0,393333.0,395842.0
394974,5,"Philadelphia, PA",Msa,PA,252630.0,249633.0,253433.0,260400.0,269567.0,275800.0,279133.0,278267.0,275933.0,273967.0,271330.0,266290.0,258290.0,254260.0,257967.0,267633.0,279200.0,287833.0,293167.0,293633.0,293667.0,294333.0,294000.0,290667.0,286500.0,286467.0,289800.0,294633.0,301333.0,311333.0,323333.0,333000.0,336333.0,337966.0,334966.0,331600.0,324933.0,321567.0,321567.0,325767.0,330800.0,334833.0,332333.0,327967.0,322300.0
394692,6,"Houston, TX",Msa,TX,317020.0,319337.0,322701.0,327464.0,331054.0,332413.0,329282.0,324387.0,318148.0,314755.0,311491.0,309859.0,308391.0,309696.0,312960.0,317855.0,321738.0,323044.0,321379.0,317740.0,313496.0,310719.0,308513.0,306394.0,303982.0,303496.0,306266.0,308812.0,313217.0,317739.0,323678.0,328541.0,332997.0,336673.0,338747.0,337630.0,335627.0,334797.0,339497.0,346838.0,357335.0,366002.0,372627.0,373297.0,371977.0
395209,7,"Washington, DC",Msa,DC,431491.0,431161.0,441289.0,452445.0,464445.0,474667.0,479667.0,476333.0,466663.0,461630.0,456597.0,449900.0,443233.0,443267.0,454967.0,471667.0,488000.0,496000.0,495667.0,489300.0,484633.0,483300.0,485000.0,483300.0,481633.0,486600.0,501600.0,513233.0,522933.0,531300.0,543000.0,549967.0,546633.0,539933.0,529967.0,521633.0,513663.0,510297.0,508630.0,514967.0,520000.0,526633.0,524933.0,520690.0,515890.0
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,395000.0,395000.0,396333.0,397796.0,399429.0,399762.0,399933.0,399633.0,399300.0,399000.0,398267.0,396933.0,395600.0,395000.0,396333.0,397667.0,399333.0,399666.0,402666.0,404333.0,404333.0,401667.0,400863.0,402497.0,402497.0,401633.0,402157.0,401823.0,401490.0,399000.0,399333.0,402167.0,405133.0,408133.0,407300.0,404934.0,401901.0,400068.0,401467.0,409833.0,424667.0,440767.0,455433.0,465733.0,474633.0
394347,9,"Atlanta, GA",Msa,GA,310075.0,314933.0,323600.0,335300.0,344667.0,349633.0,344933.0,337933.0,329633.0,324967.0,320767.0,317400.0,313733.0,313267.0,316966.0,326666.0,338000.0,344333.0,344617.0,339917.0,334883.0,330267.0,326967.0,324958.0,323622.0,323622.0,325663.0,327252.0,330585.0,336850.0,344598.0,351265.0,354667.0,356333.0,354667.0,351633.0,349933.0,351843.0,359877.0,376243.0,391000.0,401333.0,403333.0,403333.0,401667.0
394404,10,"Boston, MA",Msa,MA,541267.0,543267.0,563300.0,583000.0,597667.0,595967.0,579600.0,556600.0,539633.0,536000.0,535967.0,531300.0,528267.0,533300.0,549967.0,571665.0,589665.0,596332.0,594633.0,586633.0,579933.0,574966.0,574967.0,574600.0,574600.0,582600.0,597667.0,605967.0,614600.0,624267.0,640966.0,649330.0,649963.0,656630.0,662967.0,664967.0,664633.0,671600.0,682933.0,691600.0,694933.0,697967.0,692633.0,676000.0,666000.0
395057,11,"San Francisco, CA",Msa,CA,807667.0,824333.0,857667.0,899667.0,924667.0,937963.0,921296.0,880629.0,850667.0,842329.0,837996.0,819996.0,799667.0,803000.0,831000.0,867629.0,900963.0,907929.0,904633.0,885967.0,885667.0,889000.0,895667.0,879000.0,862500.0,874500.0,899833.0,916333.0,924667.0,949000.0,982333.0,998333.0,998667.0,998683.0,998977.0,995643.0,991960.0,988667.0,988627.0,991855.0,993855.0,995895.0,980000.0,956667.0,931333.0
394532,12,"Detroit, MI",Msa,MI,219933.0,218267.0,224933.0,238633.0,253633.0,263333.0,264633.0,259600.0,251600.0,244633.0,237967.0,231267.0,226567.0,226567.0,233266.0,246600.0,259933.0,269900.0,271267.0,267633.0,258667.0,248967.0,239300.0,231633.0,225830.0,224130.0,228297.0,234130.0,245797.0,261597.0,278233.0,286567.0,283233.0,277933.0,271300.0,264667.0,259967.0,261600.0,270597.0,283630.0,293630.0,299300.0,294633.0,284633.0,268300.0
